nombre,valor
FUENTE 1000W IGT AXXIS (LAB3990),772200
CPU RULETA GAME 6 (LAB0323),0
CPU KONAMI CONCERTO/ST/CRESCEN (LAB4268),1260000
CPU IGT AVP BRAINBOX 4.0 (LAB3996),900000
CPU ARISTOCRAT HELIX (LAB8954),270000
BRAINBOX AVP 3.0 IGT (LAB0086),562100
BACKPLANE IGT AXXIS. CRYSTAL CORE. PEAK (LAB5417),790000
WIGOS-FUENTE DOBLE (LAB4910),73569
UPS ETN 1000VA (LAB1146),525000
TV LCD 42' (LAB1143),180000
TOPPER AINSWORTH A600 (LAB5223),126000
TECLADO AINSWORTH IDECK A600 (LAB2717),614778.01
REEL WMS (LAB2087),456000
REEL KONAMI ADV 5 / REV (LAB0975),127781
PCB VIDEO WMS BB2 PN 6901-0196 (LAB6945),1410000
PCB VIDEO GEFORCE GT630 ARIST (LAB2110),333478.6
PCB RGB ILUM. REEL KONAMI (LAB0782),0
PCB I/O ITHACA 950 USB (LAB2787),0
PCB I/O CPU IGT S2000/GK+/ST (LAB0762),100000
PCB DISPLAY MATRIX IGT S2000 (LAB0747),1515.62
PCB DCS DAU CARD (LAB0741),0
PCB CONTR TOUCH AINSW A560-ST (LAB3917),0
PANEL BALLY IDECK ALP PRO/V32  (LAB1062),900000
Monitor TV LCD 40 (LAB0656),216326.33
MONITOR 32' RUL ALFASTR WIKI (LAB3723),2657000
MONITOR 32' BALLY QH PLATINUM (LAB0638),547881
MONITOR 22' TATUNG BALLY V22/2 (LAB0622),856887
MONITOR 22' SUP AINSW A560H (LAB3845),750000
MONITOR 22' LED (LAB0618),286000
MONITOR 22' ELO RUL GOLDCLUB (LAB3864),360000
MONITOR 19' LCD PC (LAB0598),60000
MONITOR 19' GENERICO W. SCREEN (LAB0595),726600
MONITOR 15' TOP BALLY ALPHA 2 (LAB4407),852600
FUENTE MONITOR 12V 3A (LAB0424),0
FUENTE ATX 500W PCBOX (LAB0418),236512
FUENTE 24V 8.4A NOVOMATIC (LAB0400),56389
FUENTE 12V 24V KONAMI PODIUM (LAB0390),156983.96
CPU NTX3.2 WMS BLADE (LAB3923),1536899.33
CPU KONAMI PODIUM/ADVANTAGE 5 (LAB2541),766500
CPU BRAINBOX IGT CRISTAL (LAB5006),1536899.33
CPU ARUZE M.2 SSD (LAB4944),1005125
CPU ARIST G7 HYB WS GT430 ROJO (LAB2619),294000
CPU ALFASTREET RULETA R8-LUCKY (LAB2548),139991.6
BALASTO 15W 25V IGT (LAB0041),23589
B/A ARDAC RS232 (LAB0034),0
TOPPER SG (LAB5222),72000
TECLADO OLED AINSWORT A560-S32 (LAB3906),884030
PCB VIDEO CPU BALLY (LAB0794),236598.21
PCB TEMPORIZADORA DF1.6MMN (LAB5606),0
PCB RS232 DAU CARD (LAB0783),0
PCB MIKOHN PROG. BALLY (LAB1320),0
PCB I/O IMPRESORA GEN1 NETPLEX (LAB0764),0
PCB I/O IGT TRIMLINE (LAB0763),0
PCB HUB 4 PUERTOS ARIST HELIX (LAB5455),0
PCB CONTRO TOUCH MONIT BALLY W  (LAB5827),0
PCB CONTR TOUCH USB DIGITECH (LAB0733),0
PCB CONTR LED KONAMI ADV 5 (LAB0721),0
PCB COMM SPC 2.0 ARISTOCRAT (LAB0705),0
PCB AUDIO-LED INTERBLOCK  (LAB5572),326589
PCB ATX SUPPLY AVP4 (LAB4789),18272.54
PANEL BALLY IDECK ALP PRO/V32 (LAB1062),900000
MONITOR 27' SUP AINSW A560-ST  (LAB3909),0
MONITOR 27' FELIX ALFASTREET (LAB2572),1568770
MONITOR 23' SG DUALOS (TOVIS) (LAB3924),150430
MONITOR 20' BALLY (LAB0606),144000
MONITOR 15' ELO SIELCON (LAB0587),0
MODULO LM2596 STEP-DOWN CORRIE (LAB4769),0
FUENTE ARISTOCRAT MK6 (LAB0417),100000
FUENTE ALIMENTACION INTERB ORG (LAB5150),0
FUENTE 19V A 3A SAMSUNG P/TV L (LAB2249),0
